Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Anomaly-Aware Adaptation Approach for Self-Adaptive Cyber-Physical System of Systems Using Reinforcement Learning,E. Cho; G. Yeo; E. Jee; D. -H. Bae,"School of Computing, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Republic of Korea; School of Computing, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Republic of Korea; School of Computing, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Republic of Korea; School of Computing, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, Republic of Korea",2022 17th Annual System of Systems Engineering Conference (SOSE),06-Jul-22,2022,,,7,12,"A cyber-physical system of systems (CPSoS) is a system composed of multiple constituent systems that interact with both physical and cyber environments. Self-adaptivity is essential for CPSoS because it works on both cyber and physical uncertainties in various environments. Main obstacles to achieving self-adaptive CPSoS are time constraints and system anomalies. An adaptation should be processed within a certain period and it should consider anomalies caused by system changes due to mechanical faults, cyber-attacks, or emergent behaviors. However, since existing adaptation approaches cannot fully handle both aspects, this paper proposes an advanced approach, A4, for a self-adaptive system that can handle known anomalies in runtime. This approach learns the known anomalies before runtime and mitigates their impact when they are detected. We evaluated the A4 approach for virtual and physical CPSoS and showed that A4 was more efficient than other approaches.",,978-1-6654-9623-0,10.1109/SOSE55472.2022.9812671,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9812671,cyber-physical system;system of systems;self-adaptive system;system anomaly;reinforcement learning;transfer learning,Deep learning;Runtime;Uncertainty;Transfer learning;Reinforcement learning;Cyber-physical systems;Behavioral sciences,cyber-physical systems;reinforcement learning;security of data;systems of systems,multiple constituent systems;physical environments;cyber environments;physical uncertainties;cyber-attacks;virtual CPSoS;physical CPSoS;anomaly-aware adaptation approach;self-adaptive cyber-physical system of systems;reinforcement learning;self-adaptive CPSoS,,2,,14,IEEE,06-Jul-22,,,IEEE,IEEE Conferences
A N2CNN-Based Anomaly Detection Method for Cardiovascular Data in Cyber-Physical System,R. Pal; A. K. Tripathi; A. C. Pandey; M. A. Khan; V. G. Menon; H. Mittal,"Dept. of Computer Science Engineering and Information Technology, JIIT, Noida, India; Dept. of Computer Science and Engineering, Malaviya National Institute Jaipur, Jaipur, India; Dept. of Computer Science Engineering, IIITDM, Jabalpur, India; College of Computing and Information Technology, University of Bisha, Bisha, Saudi Arabia; Department of Computer Science and Engineering, SCMS School of Engineering and Technology, Ernakulam; Dept. of Computer Science Engineering and Information Technology, JIIT, Noida, India",IEEE Transactions on Network Science and Engineering,,2022,PP,99,1,10,"Internet-of-medical-things is the new means of monitoring patient health remotely. However, the real-time detection of anomalies in the patient data is a challenging task, especially on ECG-data. To ease the same, a novel method, NSGA-II based convolution neural network, is presented in this paper for efficient anomaly detection. In the proposed method, non-dominated sorting genetic algorithm-II is employed to obtain optimal hyper-parameters of CNN by evaluating three objective functions namely, accuracy, precision, and recall. Further, the performance validation of the proposed method is conducted on two public datasets and compared against seven state-of-the-art methods. Experimental results affirm that the proposed method outperforms the considered methods with an accuracy of 94.83% and 94.96% on MIT-BIH arrhythmia dataset and INCART dataset, respectively. Therefore, it can be claimed that the proposed method is an efficient alternative for anomaly detection.",2327-4697,,10.1109/TNSE.2022.3188881,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9822982,Cyber-physical system;Remote health monitoring;Convolutional neural network;Elitist non-dominated sorting genetic algorithm;Anomaly Detection,Optimization;Statistics;Sociology;Monitoring;Convolution;Computer science;Support vector machines,,,,,,,IEEE,08-Jul-22,,,IEEE,IEEE Early Access Articles
Virtual Platforms for Model-Based Design of Dependable Cyber-Physical System Software,M. Becker; C. Kuznik; W. Mueller,"University of Paderborn/C-LAB Paderborn, Germany; University of Paderborn/C-LAB Paderborn, Germany; University of Paderborn/C-LAB Paderborn, Germany",2014 17th Euromicro Conference on Digital System Design,20-Oct-14,2014,,,246,253,"In this article, we present a virtual platform driven methodology for model-based design of dependable SW targeting cyber-physical systems. Our methodology covers an eight levels spanning flow for smooth refinement of discrete/continuous application models towards the implementation of distributed SW stacks providing flexibility w.r.t. early integration of object/binary code. For this, we propose multiple virtual platform abstraction levels supporting SW synthesis from high level MoCs. By continuous interfacing with a model of the physical environment in-the-loop we enable to holistically consider mutual impacts of the SW and its environment. In order to assess and improve SW dependability we investigate the injection of faults and their effects into both the environment model and the SW under test. We present a mapping of the proposed methodology to a completely SystemC-based framework by employing several SystemC extensions, such as AMS/TDF, QEMU, and abstract models of RTOS, HAL and middleware. Finally, we present experimental results from an automotive case study: a fault- tolerant fuel injection control system for which we consider two fault injection use cases: (i) robustness/stress testing and (ii) mutation testing. Our results were derived by prototypic integration of our SystemC framework with a commercial Simulink- based tool chain for AUTOSAR-compliant SW development and deployment.",,978-1-4799-5793-4,10.1109/DSD.2014.107,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927251,,Computational modeling;Iron;Data models;Unified modeling language;Abstracts;Testing;Time-varying systems,automotive engineering;C language;fault tolerance;program testing;simulation;virtualisation,virtual platforms;model-based design;cyber-physical system software;discrete/continuous application;physical environment in-the-loop;SW under test;SystemC-based framework;automotive case study;fault-tolerant fuel injection control system;Simulink,,4,,39,IEEE,20-Oct-14,,,IEEE,IEEE Conferences
Fault and Attack Collaborative Detection for Cyber-Physical System in Complex Network Environment using Delta Operator,Z. Du; L. Zhang; M. Liu; J. Zhou; D. Zhang,"School of Information Engineering, Zhengzhou University, Zhengzhou, China; School of Information Engineering, Zhengzhou University, Zhengzhou, China; School of Information Engineering, Zhengzhou University, Zhengzhou, China; School of Information Engineering, Zhengzhou University, Zhengzhou, China; School of Information Engineering, Zhengzhou University, Zhengzhou, China",IECON 2021 ‚Äì 47th Annual Conference of the IEEE Industrial Electronics Society,10-Nov-21,2021,,,1,6,"In this paper, the H‚àí/H‚àû detection for faults and attacks in a Cyber-physical system (CPS) is studied. The complex network environment with random delay, limited communication, actuator cyber attack and sensor cyber attack is considered. And the above system with fault and attack coexisting is discretized by delta operator in high-speed sampling. A set of H‚àí/H‚àû observers is constructed, which enables the system to detect the possible fault signal and attack signal respectively and quickly. By using Lyapunov-Krasovskii functional and linear matrix inequalities approach, the sufficient conditions for the system to have asymptotic stability and H‚àí/H‚àû performance are given. The feasibility and effectiveness of the proposed method are analyzed through several simulation examples.",2577-1647,978-1-6654-3554-3,10.1109/IECON48115.2021.9589923,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9589923,Cyber-physical systems(CPSs);fault;cyber attack;delta operator;H‚àí/H‚àû performance,Asymptotic stability;Actuators;Sufficient conditions;Simulation;Complex networks;Observers;Cyber-physical systems,asymptotic stability;complex networks;delays;fault tolerant control;linear matrix inequalities;Lyapunov methods;time-varying systems,sensor cyber attack;delta operator;fault signal;attack signal;cyber-physical system;complex network environment;H-/H‚àû observer;Lyapunov-Krasovskii functional;linear matrix inequalities approach;sufficient conditions;asymptotic stability,,1,,18,IEEE,10-Nov-21,,,IEEE,IEEE Conferences
A cyber-physical system approach for photovoltaic array monitoring and control,S. Rao; S. Katoch; P. Turaga; A. Spanias; C. Tepedelenlioglu; R. Ayyanar; H. Braun; J. Lee; U. Shanthamallu; M. Banavar; D. Srinivasan,"SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; SenSIP Center, Arizona State University; ECE, Clarkson University; Poundra Inc","2017 8th International Conference on Information, Intelligence, Systems & Applications (IISA)",15-Mar-18,2017,,,1,6,"In this paper, we describe a Cyber-Physical system approach to Photovoltaic (PV) array control. A machine learning and computer vision framework is proposed for improving the reliability of utility scale PV arrays by leveraging video analysis of local skyline imagery, customized machine learning methods for fault detection, and monitoring devices that sense data and actuate at each individual panel. Our approach promises to improve efficiency in renewable energy systems using cyber-enabled sensory analysis and fusion.",,978-1-5386-3731-9,10.1109/IISA.2017.8316458,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8316458,,Fault detection;Arrays;Feature extraction;Manifolds;Machine learning algorithms;Integrated circuit modeling;Monitoring,computer vision;computerised monitoring;cyber-physical systems;image fusion;learning (artificial intelligence);power engineering computing;solar cell arrays,photovoltaic array control;local skyline imagery;customized machine;leveraging video analysis;utility scale PV arrays;computer vision framework;machine learning;photovoltaic array monitoring;cyber-physical system approach;renewable energy systems,,23,,46,IEEE,15-Mar-18,,,IEEE,IEEE Conferences
A Data-Driven Cyber‚ÄìPhysical System Using Deep-Learning Convolutional Neural Networks: Study on False-Data Injection Attacks in an Unmanned Ground Vehicle Under Fault-Tolerant Conditions,F. Santoso; A. Finn,"Defence and Systems Institute, UniSA STEM (Science Technology Engineering Mathematics), The University of South Australia, Mawson Lakes, SA, Australia; Defence and Systems Institute, UniSA STEM (Science Technology Engineering Mathematics), The University of South Australia, Mawson Lakes, SA, Australia","IEEE Transactions on Systems, Man, and Cybernetics: Systems",16-Dec-22,2023,53,1,346,356,"Leveraging the benefits of deep-learning convolutional neural networks, we introduce a new data-driven cyber‚Äìphysical system specifically designed to address the vulnerability of middleware software, namely, Robot Operating System (ROS), widely implemented in robotics in both civilian and military domains. As for our research platform, we employ the GVR-BOT unmanned ground vehicle, which is a replicate of the U.S. Army ground robot. We focus our study on the ability of the ground robot to operate under fault-tolerant conditions, making it challenging from the standpoint of cybersecurity to differentiate between legitimate and malicious operations. The GVR-BOT ground vehicle belongs to a class of differential drive ground robots and employs ROS in its onboard computer to interact with users. To facilitate deep learning, we develop a large database of images based on the network-traffic data of ROS, describing the dynamics of the GVR-BOT ground robot under legitimate and malicious operations. We use our image database to train and validate the performance of our deep-learning CNN system. Given a set of RGB/grayscale images describing the normalized time-series data representing the dynamics of the GVR-BOT ground robot, the objective of our proposed cybersecurity algorithm is to safeguard the legitimate operation of the ground robot under fault-tolerant conditions, such that any attempts to compromise its performance (e.g., malicious attacks) can be prevented within the minimum detection time. Our research indicates a promising result as our system is capable of detecting malicious attacks with high accuracy while recognizing its legitimate operations with reasonably small false-positive rates.",2168-2232,,10.1109/TSMC.2022.3170071,U.S. Army Futures Command (AFC)‚Äî DEVCOM‚ÄîGround Vehicle Systems Center and the International Technology Center Indo-Pacific (ITC PAC); ‚ÄúTrusted Operations for Robotic Vehicles in Contested Environments‚Äù(grant numbers:FA5209-18-P-0146); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9812734,Convolutional neural networks (CNNs);cyberattacks;cyber-physical systems;false-data injections;robot operating system (ROS);unmanned ground vehicles (UGVs),Robots;Robot sensing systems;Robot kinematics;Land vehicles;Computer crime;Fault tolerant systems;Fault tolerance,control engineering computing;convolutional neural nets;deep learning (artificial intelligence);fault tolerant control;image colour analysis;image representation;middleware;mobile robots;operating systems (computers);remotely operated vehicles;security of data;time series;visual databases,data driven cyber physical system;deep learning convolutional neural networks;deep-learning CNN system;differential drive ground robots;false data injection attacks;fault-tolerant conditions;GVR-BOT ground robot;GVR-BOT ground vehicle;GVR-BOT unmanned ground vehicle;legitimate operation;legitimate operations;malicious attacks;malicious operations;network-traffic data;normalized time series data;robot operating system;ROS;U.S. army ground robot,,1,,30,IEEE,01-Jul-22,,,IEEE,IEEE Journals
Application of Congestion Notifications in a Cyber-Physical System,S. C. Jackson; B. McMillin,"Missouri University of Science & Technology, Rolla, Missouri; Missouri University of Science & Technology, Rolla, Missouri",2017 IEEE 22nd Pacific Rim International Symposium on Dependable Computing (PRDC),08-May-17,2017,,,165,174,"Cyber-physical systems augment traditional physical systems with cyber control. These cyber controls are intended to improve the efficiency and availability of the physical system. Smart-grid research focuses on improving the existing power grid with intelligent cyber control. Some smart-grid projects consider a future power grid where energy generation is largely decentralized because of widespread renewable generation and energy storage capabilities. However, if a distributed system is used to control this future power grid, faults in the cyber domain can lead to failures in the physical domain. This work treats communications congestion as a potential fault and makes use of congestion notification techniques to anticipate congestion and reconfigure the distributed system. Dynamic reconfiguration of the system maintains its proper operation in the presence of communications congestion such that proper smart grid operation is maintained. Our approach can be applied to other cyber-physical systems where communication is required for the correct operation of the physical network.",2473-3105,978-1-5090-5652-1,10.1109/PRDC.2017.30,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920610,smart-grid;cyber-physical systems;real-time systems;distributed systems;network congestion,Smart grids;Control systems;Nominations and elections;Communication networks;Power system stability;Internet,control engineering computing;cyber-physical systems;distributed processing;intelligent control;power engineering computing;power system control;smart power grids,congestion notifications;cyber-physical system;cyber controls;intelligent cyber control;communications congestion;distributed system reconfiguration;smart grid operation,,,,32,IEEE,08-May-17,,,IEEE,IEEE Conferences
IEEE 1815.1-Based Power System Security With Bidirectional RNN-Based Network Anomalous Attack Detection for Cyber-Physical System,S. Kwon; H. Yoo; T. Shon,"Department of Computer Engineering, Ajou University, Suwon, South Korea; Department of Computer Science, University of New Orleans, New Orleans, USA; Department of Computer Engineering, Ajou University, Suwon, South Korea",IEEE Access,05-May-20,2020,8,,77572,77586,"The introduction of the cyber-physical system (CPS) into power systems has created a variety of communication requirements and functions that existing legacy systems do not support. To this end, the IEEE 1815.1 standard defines the mapping between existing distributed network protocol networks and IEC 61850 networks that reflect new requirements. However, advanced CPS cyberattacks have been reported, and in order to address cyberattacks, security research on new power systems that use network devices and heterogeneous communication is necessary. In this study, we propose an intrusion detection system for an IEEE 1815.1-based power system using CPS. We 1) analyze an IEEE 1815.1-based power system network and propose a suitable application method for an intrusion detection system, 2) suggest a bidirectional recurrent neural network-based anomaly detection system for an IEEE 1815.1-based network, and 3) demonstrate the verification of the proposed technique using various power system-specific attack data, including real power system using CPS network traffic, CPS malware behavior (CMB), false data injection (FDI), and disabling reassembly (DR) attacks. Proposed technique successfully detected five types of CMB attacks, three types of FDI and DR attacks.",2169-3536,,10.1109/ACCESS.2020.2989770,"Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Science, ICT, and Future Planning(grant numbers:NRF-2018R1D1A1B07043349); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9076709,Anomaly detection;cyberattack;cyber-physical system (CPS);network security;smart grid communications;supervisory control and data acquisition (SCADA),Power systems;Anomaly detection;IEC Standards;Computer crime;Protocols;Payloads,cyber-physical systems;invasive software;power system security;protocols;recurrent neural nets,intrusion detection system;power system network;bidirectional recurrent neural network;CPS network traffic;power system security;bidirectional RNN;network anomalous attack detection;anomaly detection system;IEEE 1815.1 standard;CPS cyberattacks;CPS malware behavior;false data injection;disabling reassembly attacks;CMB attacks;IEC 61850 networks;network protocol networks;legacy systems;cyber-physical system,,39,,27,CCBY,23-Apr-20,,,IEEE,IEEE Journals
Streaming data analysis framework for cyber-physical system of metal machining processes,C. -L. Yang; H. Sutrisno; N. -W. Lo; Z. -X. Chen; C. -C. Wei; H. -W. Zhang; C. -T. Lin; C. -L. Wei; S. -H. Hsieh,"Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Mechanical Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Industrial Management, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Mechanical Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Electrical and Computer Engineering, National Chiao Tung University, Hsinchu, Taiwan; Institute of Electrical Control Engineering, Department of Electrical and Computer Engineering, National Chiao Tung University, Hsinchu, Taiwan; Precision Machinery Research and Development Center, Taichung City, Taiwan, R.O.C; CIMFORCE International Limited, New Taipei City, Taiwan, R.O.C",2018 IEEE Industrial Cyber-Physical Systems (ICPS),21-Jun-18,2018,,,546,551,"Online monitoring and offline batch analyzing the data stream obtained from computer numeric control (CNC) machines and sensors deployed on manufacturing site are the core technology of Cyber-Physical System (CPS). In order to analyze data stream collected continually, in this research, the data analysis framework consist of supervisory control and data acquisition (SCADA), edge computing and cloud computing is proposed. By integrating signal smoothing and anomaly pattern detection techniques, the significant unique patterns of data stream can be discovered and stored for further usage in CPS application.",,978-1-5386-6531-2,10.1109/ICPHYS.2018.8390764,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390764,Data Streaming Analysis Framework;Real-Time Data Analysis;Cyber-Physical System;Time Series Pattern Comparison,Time series analysis;Machining;Data analysis;Manufacturing;Smoothing methods;Metals;Sensors,batch processing (industrial);cloud computing;computerised numerical control;control engineering computing;cyber-physical systems;data analysis;distributed processing;machining;metalworking;production control;production engineering computing;SCADA systems,sensors;cyber-physical system;streaming data analysis framework;metal machining processes;offline batch analysis;computer numeric control machines;CNC machines;supervisory control and data acquisition;CPS application;SCADA;edge computing;cloud computing;signal smoothing;anomaly pattern detection techniques,,7,,15,IEEE,21-Jun-18,,,IEEE,IEEE Conferences
Anomaly-Based Intrusion Detection System for Cyber-Physical System Security,R. Colelli; F. Magri; S. Panzieri; F. Pascucci,"Department of Engineering, University of Roma Tre, Rome, Italy; Department of Engineering, University of Roma Tre, Rome, Italy; Department of Engineering, University of Roma Tre, Rome, Italy; Department of Engineering, University of Roma Tre, Rome, Italy",2021 29th Mediterranean Conference on Control and Automation (MED),15-Jul-21,2021,,,428,434,"Over the past decade, industrial control systems have experienced a massive integration with information technologies. Industrial networks have undergone numerous technical transformations to protect operational and production processes, leading today to a new industrial revolution. Information Technology tools are not able to guarantee confidentiality, integrity and availability in the industrial domain, therefore it is of paramount importance to understand the interaction of the physical components with the networks. For this reason, usually, the industrial control systems are an example of Cyber-Physical Systems (CPS). This paper aims to provide a tool for the detection of cyber attacks in cyber-physical systems. This method is based on Machine Learning to increase the security of the system. Through the analysis of the values assumed by Machine Learning it is possible to evaluate the classification performance of the three models. The model obtained using the training set, allows to classify a sample of anomalous behavior and a sample that is related to normal behavior. The attack identification is implemented in water tank system, and the identification approach using Machine Learning aims to avoid dangerous states, such as the overflow of a tank. The results are promising, demonstrating its effectiveness.",2473-3504,978-1-6654-2258-1,10.1109/MED51440.2021.9480182,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9480182,,Training;Industrial control;Supervised learning;Intrusion detection;Cyber-physical systems;Tools;Storage tanks,control engineering computing;cyber-physical systems;industrial control;learning (artificial intelligence);production engineering computing;security of data,anomaly-based intrusion detection system;cyber-physical system security;industrial control systems;massive integration;industrial networks;undergone numerous technical transformations;operational production processes;industrial revolution;information technology tools;industrial domain;physical components;cyber-physical systems;cyber attacks;water tank system,,6,,21,IEEE,15-Jul-21,,,IEEE,IEEE Conferences
Novel Anomaly Detection Scheme for Cyber Physical System using C-GAN in Fog assisted IoT Environment,A. Mathur; S. A. Babu,"Department of Computer Science and Engineering, Faculty of Engineering and Technology, Jain (Deemed-to-be University), Bangalore, India; Department of Computer Science and Engineering, Faculty of Engineering and Technology, Jain (Deemed-to-be University), Bangalore, India",2023 International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),21-Jun-23,2023,,,1,7,"An Internet of Things (IoT) appears to be an innovative technology with great potential for widespread development. There has been a rise in data security issues in recent years as a consequence of various technological developments. Despite the proliferation of security precautions, criminals have learned to circumvent them. We employ a Contingently Generative Adversarial Network in our research to detect harmful online behaviour (CC-GAN). Our proposed system employs CC-GAN, which can identify novel threats, to carry out intrusion detection based on anomalies. An Internet-of-Things layer, a fog layer, as well as a cloud layer make up the whole of our proposed fog-based infrastructure. The IoT layer consists of many connected devices, and it is here that the CC-GAN receives the training data it needs to learn to recognise potential security breaches. A convolutional neural network & encoder are trained on the cloud layer, where additional computing takes place. Adding a fog layer might help decrease the delay. Finally, the attack detection score is evaluated. For this exercise, we use the network simulator version 2.6. (NS 3.26). The simulation result shows that the proposed system achieves a higher detection rate than the state-of-the-art systems.",,979-8-3503-4745-6,10.1109/ICDCECE57866.2023.10150646,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150646,Anomaly Detection Scheme;Cyber Physical System;C-GAN;and Fog assisted IoT,Cloud computing;Simulation;Sociology;Training data;Intrusion detection;Market research;Generative adversarial networks,computer network security;convolutional neural nets;cyber-physical systems;edge computing;Internet of Things;learning (artificial intelligence);neural nets,anomaly detection scheme;attack detection score;CC-GAN;cloud layer;contingently generative adversarial network;convolutional neural network;cyber physical system;data security issues;fog assisted IoT environment;fog layer;fog-based infrastructure;harmful online behaviour detection;Internet-of-Things layer;intrusion detection;IoT environment;IoT layer;network simulator version 2.6;NS 3.26,,,,15,IEEE,21-Jun-23,,,IEEE,IEEE Conferences
Learning from Mutants: Using Code Mutation to Learn and Monitor Invariants of a Cyber-Physical System,Y. Chen; C. M. Poskitt; J. Sun,"Singapore University of Technology and Design, Singapore, Singapore; Singapore University of Technology and Design, Singapore, Singapore; Singapore University of Technology and Design, Singapore, Singapore",2018 IEEE Symposium on Security and Privacy (SP),26-Jul-18,2018,,,648,660,"Cyber-physical systems (CPS) consist of sensors, actuators, and controllers all communicating over a network; if any subset becomes compromised, an attacker could cause significant damage. With access to data logs and a model of the CPS, the physical effects of an attack could potentially be detected before any damage is done. Manually building a model that is accurate enough in practice, however, is extremely difficult. In this paper, we propose a novel approach for constructing models of CPS automatically, by applying supervised machine learning to data traces obtained after systematically seeding their software components with faults (""mutants""). We demonstrate the efficacy of this approach on the simulator of a real-world water purification plant, presenting a framework that automatically generates mutants, collects data traces, and learns an SVM-based model. Using cross-validation and statistical model checking, we show that the learnt model characterises an invariant physical property of the system. Furthermore, we demonstrate the usefulness of the invariant by subjecting the system to 55 network and code-modification attacks, and showing that it can detect 85% of them from the data logs generated at runtime.",2375-1207,978-1-5386-4353-2,10.1109/SP.2018.00016,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8418629,cyber physical systems;water treatment systems;invariants;anomaly detection;attestation;system modelling;machine learning;mutation testing;attacks,Sensors;Software;Actuators;Data models;Feature extraction;Monitoring;Model checking,formal verification;learning (artificial intelligence);program diagnostics;program testing;support vector machines,SVM-based model;statistical model checking;learnt model;code-modification attacks;data logs;code mutation;cyber-physical system;CPS;real-world water purification plant;cross-validation;supervised machine learning,,77,,48,IEEE,26-Jul-18,,,IEEE,IEEE Conferences
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Sub-type,Series,,,,,,,,
Journal Article,"Alan O,Catal C",Thresholds Based Outlier Detection Approach for Mining Class Outliers: An Empirical Case Study on Software Measurement Datasets,Expert Syst. Appl.,2011,38,4,3440ñ3445,"Pergamon Press, Inc.",USA,,,2011-04,,0957-4174,https://doi.org/10.1016/j.eswa.2010.08.130;http://dx.doi.org/10.1016/j.eswa.2010.08.130,10.1016/j.eswa.2010.08.130,"Predicting the fault-proneness labels of software program modules is an emerging software quality assurance activity and the quality of datasets collected from previous software version affects the performance of fault prediction models. In this paper, we propose an outlier detection approach using metrics thresholds and class labels to identify class outliers. We evaluate our approach on public NASA datasets from PROMISE repository. Experiments reveal that this novel outlier detection method improves the performance of robust software fault prediction models based on Naive Bayes and Random Forests machine learning algorithms.","Software fault prediction, Outlier detection, Empirical software engineering, Software metrics thresholds",,,,,,,,,,,
Journal Article,"Shao M,Qi D,Xue H,Satapathy SC,Agrawal R,GarcÌa DÌaz V",Big Data Outlier Detection Model Based on Improved Density Peak Algorithm,J. Intell. Fuzzy Syst.,2021,40,4,6185ñ6194,IOS Press,NLD,,,2021-01,,1064-1246,https://doi.org/10.3233/JIFS-189456;http://dx.doi.org/10.3233/JIFS-189456,10.3233/JIFS-189456,"Outlier detection is an important branch of data mining. This paper proposes an advanced fast density peak outlier detection algorithm based on the characteristics of big data. The algorithm is an outlier detection method based on the improved density peak clustering algorithm. This paper improves the original algorithm. From the perspective of outlier detection, although it is a clustering idea, it avoids the clustering process, reduces the time complexity of the cluster-based outlier detection algorithm, and absorbs. The outlier detection based on neighbors is not sensitive to data dimensions and other advantages. In the power industry, outlier detection can be used in areas such as grid fault detection, equipment fault detection, and power abnormality detection. The simulation experiment of outlier detection based on the daily load curve of single and multiple transformers in a certain province shows that the improved algorithm can effectively detect outliers in the data.","density clustering, KNN algorithm, big data, Outlier detection",,,,,,,,,,,
Conference Paper,"Keller A,Anderson J,Wirthlin M,Wen SJ,Fung R,Chambers C",Using Partial Duplication With Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,,2020,,,1ñ6,IEEE Press,"Dallas, TX, USA",2020 IEEE International Reliability Physics Symposium (IRPS),,2020,,,https://doi.org/10.1109/IRPS45951.2020.9128839;http://dx.doi.org/10.1109/IRPS45951.2020.9128839,10.1109/IRPS45951.2020.9128839,"Duplication with compare, a circuit-level fault-detection technique, is used in this study in a partial manner to detect radiation-induced failures in a commercial FPGA-based networking system. A novel approach is taken to overcome challenges presented by multiple clock domains, the use of third-party IP, and the collection of error detection signals dispersed throughout the design. Novel fault injection techniques are also used to evaluate critical regions of the target design. Accelerated neutron radiation testing was performed to evaluate the effectiveness of the applied technique. One design version was able to detect 45% of all failures with the proposed technique applied to 29% of the circuit components within the design. Another design version was able to detect 31% of all failures with the proposed technique applied to only 8% of circuit components.",,,,,,,,,,,,
Conference Paper,"Sumita S,Nakagawa H,Tsuchiya T",Optimal Parameter Selection Using Explainable AI For Time-Series Anomaly Detection,,2022,,,281ñ296,Springer-Verlag,"Berlin, Heidelberg","PRIMA 2022: Principles and Practice of Multi-Agent Systems: 24th International Conference, Valencia, Spain, November 16ñ18, 2022, Proceedings","Valencia , Spain",2022,9783031212024,,https://doi.org/10.1007/978-3-031-21203-1_17;http://dx.doi.org/10.1007/978-3-031-21203-1_17,10.1007/978-3-031-21203-1_17,"Time-series anomaly detection is a technique for detecting unusual values, changes, or movements in a large amount of data arranged in time-series. It is primarily used in the fields of intrusion detection, medical diagnosis, and industrial defect damage detection and necessary to realize agents that operate intelligently and autonomously, such as changing system behavior based on detected anomalies. SALAD is a real-time time-series anomaly detection method based on deep learning. It is lightweight and determines anomaly detection threshold flexibly; however, experts need to determine an appropriate value for a parameter so that it suits any given recurrent time series, and this inhibits the realization of the agent. In this study, we propose a method to determine automatically the optimal parameter value in SALADís prediction model by utilizing XAI. We use SHAP, which provides interpretability to the prediction by the deep learning model. Through evaluation experiment, we demonstrate that our method is effective and provide an example of the use of XAI for time-series anomaly detection.","Explainable AI (XAI), Self-adaptive anomaly detection, Time-series anomaly detection",,,,,,,,,,,
